Artist,p,cor
Angel Olsen,0.91,0.132
David Bowie,0.217,-0.669
Frank Ocean,0.058,-0.865
Nick Cave,0.728,-0.415
Chance ,0.019,0.981
Beyonce,0.948,0.041
Radiohead,0.559,-0.354
Solange,0.576,0.424
Kanye,0.335,-0.551
Tribe,0.152,0.848
